112:43-06-29:4:db:42,00 Ft.:MÉR?CSIPESZ KROKODILCSIPESZ ACL-BPB/4 FEKETE 4MM BANÁNHÜVELYES:
113:43-06-30:4:db:42,00 Ft.:MÉR?CSIPESZ KROKODILCSIPESZ ACL-BPR/4 PIROS 4MM BANÁNHÜVELYES:
114:43-14-97:2:db:99,00 Ft.:MÉR?CSIPESZ KROKODILCSIPESZ ACL-BSB (G-S) FEKETE4MM BANÁNHÜVELYES SZIGETELT:
115:43-14-99:2:db:99,00 Ft.:MÉR?CSIPESZ KROKODILCSIPESZ ACL-BSR (G-S) PIROS 4MM BANÁNHÜVELYES SZIGETELT:
116:54-02-38:2:db:256,00 Ft.:SZERELT KÁBEL MÉR?ZSINÓR FEKETE BANÁNDUGÓ - BANÁNDUGÓ 100CM:
117:54-02-37:2:db:256,00 Ft.:SZERELT KÁBEL MÉR?ZSINÓR PIROS BANÁNDUGÓ - BANÁNDUGÓ 100CM:
118:54-02-39:2:db:256,00 Ft.:SZERELT KÁBEL MÉR?ZSINÓR SÁRGA BANÁNDUGÓ - BANÁNDUGÓ 100CM:
119:43-16-77:2:db:114,00 Ft.:MÉR?CSATLAKOZÓ BANÁNDUGÓ BP-5-G (G-S) RoHS 180° PVC ZÖLD:
120:43-16-79:2:db:114,00 Ft.:MÉR?CSATLAKOZÓ BANÁNDUGÓ BP-5-W (G-S) RoHS 180° PVC FEHÉR:
121:43-16-76:2:db:114,00 Ft.:MÉR?CSATLAKOZÓ BANÁNDUGÓ BP-5-BL (G-S) RoHS 180° PVC KÉK:


